Time,Close,Open,High,Low,,
Nov 02,"3,435.66","3,438.37","3,449.06","3,229.67",-,-0.22%
Oct 02,"3,443.14","3,639.06","3,639.06","3,411.22",-,-4.72%
Sep 02,"3,613.65","3,367.59","3,629.27","3,367.59",-,4.57%
Aug 02,"3,455.84","3,208.95","3,485.86","3,191.60",-,6.05%
Jul 02,"3,258.75","3,256.99","3,319.70","3,180.51",-,0.58%
Jun 02,"3,240.01","3,128.46","3,240.01","3,045.50",-,3.42%
May 02,"3,132.95","3,230.24","3,389.44","3,085.49",-,-4.35%
Apr 02,"3,275.47","3,294.56","3,383.12","2,989.65",-,1.11%
Mar 02,"3,239.61","2,915.89","3,239.61","2,915.89",-,13.48%
Feb 02,"2,854.74","2,804.82","2,867.57","2,744.52",-,4.37%
Jan 02,"2,735.26","2,891.27","2,929.87","2,695.53",-,-3.12%
Dec 01,"2,823.35","2,889.03","2,916.22","2,729.80",-,-1.33%
Nov 01,"2,861.28","2,966.45","3,059.61","2,730.68",-,-5.37%
Oct 01,"3,023.67","3,163.58","3,170.49","2,997.70",-,-5.04%
Sep 01,"3,184.24","3,549.42","3,767.12","3,091.33",-,-10.96%
Aug 01,"3,576.03","3,538.92","3,640.71","3,527.99",-,0.96%
Jul 01,"3,542.17","3,508.60","3,645.70","3,445.52",-,0.24%
Jun 01,"3,533.71","3,795.96","3,890.36","3,495.54",-,-7.23%
May 01,"3,809.28","3,951.33","3,978.64","3,809.28",-,-2.85%
Apr 01,"3,920.97","3,688.73","4,024.93","3,688.73",-,5.37%
Mar 01,"3,721.13","3,887.73","4,006.54","3,721.13",-,-3.92%
Feb 01,"3,872.93","4,071.40","4,205.27","3,872.93",-,-1.40%
Jan 01,"3,927.75","4,022.43","4,208.57","3,927.75",-,-5.31%
Dec 00,"4,147.90","4,129.41","4,245.49","3,929.40",-,-2.06%
Nov 00,"4,235.22","3,922.45","4,338.48","3,895.40",-,9.22%
Oct 00,"3,877.86","3,969.73","4,266.15","3,860.42",-,0.23%
Sep 00,"3,869.14","3,938.15","4,161.69","3,828.50",-,-1.37%
Aug 00,"3,922.85","3,431.42","3,927.23","3,431.42",-,15.41%
Jul 00,"3,399.09","3,678.73","3,678.73","3,399.09",-,-7.68%
Jun 00,"3,681.85","3,483.54","3,714.35","3,460.31",-,7.13%
May 00,"3,436.91","3,126.47","3,523.05","3,126.47",-,11.20%
Apr 00,"3,090.82","3,087.48","3,116.24","2,919.58",-,-0.91%
Mar 00,"3,119.23","3,251.42","3,387.09","3,073.64",-,-1.16%
Feb 00,"3,155.86","3,013.52","3,155.86","2,976.14",-,6.25%
Jan 00,"2,970.29","2,766.77","3,005.56","2,689.98",-,7.23%
Dec 99,"2,770.00","2,676.57","2,811.95","2,676.57",-,4.22%
